container,size,strategy,run,read_s,split_s,write_vargs_s,write_kiet_s,total_s
vector,1000,3,1,0.0016582,0.0002073,0.0041629,0.0051161,0.01171
vector,1000,3,2,0.001532,0.0001981,0.0022157,0.0026606,0.0072965
vector,1000,3,3,0.0015007,0.0001986,0.0019325,0.002466,0.0065936
vector,1000,3,avg,0.00156363,0.000201333,0.00277037,0.00341423,0.00853337
vector,10000,3,1,0.014594,0.00166,0.016789,0.0227381,0.0567789
vector,10000,3,2,0.0174954,0.0016677,0.0171213,0.0230006,0.0602831
vector,10000,3,3,0.0140508,0.0078328,0.0166004,0.023269,0.0628056
vector,10000,3,avg,0.0153801,0.00372017,0.0168369,0.0230026,0.0599559
vector,100000,3,1,0.159265,0.0199931,0.16399,0.317172,0.667764
vector,100000,3,2,0.158016,0.0236069,0.167437,0.254388,0.610466
vector,100000,3,3,0.149812,0.0216258,0.16138,0.248089,0.587865
vector,100000,3,avg,0.155698,0.0217419,0.164269,0.273216,0.622032
vector,1000000,3,1,1.45322,0.221835,1.57161,2.43708,5.73912
vector,1000000,3,2,1.40877,0.201783,1.55973,2.34123,5.56912
vector,1000000,3,3,1.42316,0.208389,1.57078,2.29524,5.55108
vector,1000000,3,avg,1.42839,0.210669,1.56737,2.35785,5.61977
